schname,md_earn,num_search,locality,total_earning_sd,lg_md
CLEMSON UNIVERSITY,49400.0,628.0,sub_large,0.599396902914258,10.807725945886109
COKER COLLEGE,32800.0,314.0,town_mid,-0.770634958334609,10.39821428171237
COLUMBIA INTERNATIONAL UNIVERSITY,29600.0,471.0,city_mid,-1.0347374858042702,10.295563423525277
COLUMBIA COLLEGE,31800.0,1727.0,city_mid,-0.8531669981688782,10.367253014814716
CONVERSE COLLEGE,33400.0,314.0,city_small,-0.7211157344340476,10.416341118636355
ERSKINE COLLEGE,36000.0,312.0,Rural_mid,-0.5065324308649479,10.491301994830229
FRANCIS MARION UNIVERSITY,32300.0,468.0,sub_small,-0.8119009782517436,10.382853468483827
FURMAN UNIVERSITY,47500.0,468.0,sub_large,0.44258602722914664,10.768506042432708
LANDER UNIVERSITY,33900.0,468.0,town_mid,-0.679849714516913,10.431199791458543
LIMESTONE COLLEGE,36100.0,312.0,town_large,-0.49827922688152104,10.494075844768336
MEDICAL UNIVERSITY OF SOUTH CAROLINA,73400.0,624.0,city_mid,2.580165858936716,11.203692838488003
MORRIS COLLEGE,23200.0,156.0,city_small,-1.5629425407435924,10.05195066017375
NEWBERRY COLLEGE,33300.0,468.0,town_mid,-0.7293689384174745,10.413342705547674
NORTH GREENVILLE UNIVERSITY,31200.0,468.0,Rural_large,-0.9026862220694396,10.348205424565993
PRESBYTERIAN COLLEGE,41300.0,312.0,town_mid,-0.06911261974332174,10.628641991731053
COASTAL CAROLINA UNIVERSITY,36200.0,471.0,city_small,-0.4900260228980941,10.49684202174171
SOUTH CAROLINA STATE UNIVERSITY,30400.0,628.0,town_mid,-0.9687118539368549,10.322230781590136
VOORHEES COLLEGE,26400.0,156.0,Rural_large,-1.2988400132739313,10.181157167204903
WINTHROP UNIVERSITY,36100.0,624.0,city_small,-0.49827922688152104,10.494075844768336
WOFFORD COLLEGE,46800.0,468.0,city_small,0.3848135993451583,10.753659849198824
AUGUSTANA COLLEGE,42600.0,1256.0,city_mid,0.038179032041228085,10.659633006160352
BLACK HILLS STATE UNIVERSITY,34400.0,628.0,town_mid,-0.6385836945997785,10.445840912706414
DAKOTA STATE UNIVERSITY,37400.0,628.0,town_mid,-0.3909875750969712,10.529452721013085
DAKOTA WESLEYAN UNIVERSITY,34100.0,628.0,town_small,-0.6633433065500592,10.43708198835482
MOUNT MARTY COLLEGE,32300.0,312.0,town_small,-0.8119009782517436,10.382853468483827
NORTHERN STATE UNIVERSITY,33200.0,468.0,town_small,-0.7376221424009014,10.410335274932896
PRESENTATION COLLEGE,37100.0,312.0,town_small,-0.41574718704725194,10.521399202410167
SOUTH DAKOTA SCHOOL OF MINES AND TECHNOLOGY,52300.0,628.0,city_small,0.8387398184336383,10.86477077032911
SOUTH DAKOTA STATE UNIVERSITY,40600.0,628.0,town_small,-0.1268850476273101,10.611547975828369
UNIVERSITY OF SIOUX FALLS,36900.0,624.0,city_mid,-0.43225359501410576,10.515993929932415
UNIVERSITY OF SOUTH DAKOTA,39500.0,936.0,town_mid,-0.2176702914450061,10.584081267024454
AUSTIN PEAY STATE UNIVERSITY,34700.0,785.0,city_mid,-0.6138240826494977,10.454523783963511
BAPTIST MEMORIAL COLLEGE OF HEALTH SCIENCES,54900.0,314.0,city_large,1.053323122002738,10.91328684226798
BELMONT UNIVERSITY,39100.0,628.0,city_large,-0.25068310737871374,10.573903321093981
BETHEL UNIVERSITY,35200.0,785.0,town_mid,-0.5725580627323632,10.468829770273567
CARSON-NEWMAN UNIVERSITY,35400.0,628.0,sub_small,-0.5560516547655094,10.474495347310453
CHRISTIAN BROTHERS UNIVERSITY,45300.0,471.0,city_large,0.2610155395937546,10.721084386282662
CUMBERLAND UNIVERSITY,35000.0,314.0,town_large,-0.5890644706992171,10.463131911491967
LIPSCOMB UNIVERSITY,39000.0,468.0,city_large,-0.2589363113621407,10.571342565808699
