schname,md_earn,num_search,locality,total_earning_sd,lg_md,earning_code
MID-AMERICA CHRISTIAN UNIVERSITY,38900.0,624.0,city_large,-0.26718951534556756,10.568775236216993,0
MCNALLY SMITH COLLEGE OF MUSIC,30300.0,312.0,city_large,-0.9769650579202818,10.318935994253193,0
HODGES UNIVERSITY,38100.0,312.0,sub_large,-0.33321514721298284,10.547995807489514,0
NEW ENGLAND SCHOOL OF COMMUNICATIONS,27200.0,312.0,city_small,-1.232814381406516,10.211009016314167,0
WATKINS COLLEGE OF ART DESIGN & FILM,30100.0,312.0,city_large,-0.9934714658871356,10.31231367277647,0
BAKER COLLEGE CENTER FOR GRADUATE STUDIES,26500.0,157.0,sub_large,-1.2905868092905044,10.184937747111391,0
THE ART INSTITUTE OF PHOENIX,25200.0,314.0,city_large,-1.397878461075054,10.134638955251866,0
AMERICAN UNIVERSITY OF HEALTH SCIENCES,36800.0,314.0,sub_large,-0.44050679899753264,10.513280297700861,0
WESTERN GOVERNORS UNIVERSITY,38800.0,624.0,sub_large,-0.2754427193289945,10.566201298475118,0
MICHIGAN JEWISH INSTITUTE,18400.0,468.0,sub_large,-1.959096331948084,9.820160289946374,0
CROSSROADS BIBLE COLLEGE,26800.0,157.0,city_large,-1.2658271973402235,10.196194479235656,0
KING'S UNIVERSITY,34700.0,312.0,city_large,-0.6138240826494977,10.454523783963511,0
THE ART INSTITUTE OF WASHINGTON,31600.0,157.0,city_mid,-0.869673406135732,10.360944044643913,0
THE ART INSTITUTE OF TUCSON,25200.0,157.0,city_large,-1.397878461075054,10.134638955251866,0
NEUMONT UNIVERSITY,27500.0,312.0,city_mid,-1.2080547694562354,10.221977646629885,0
THE ART INSTITUTE OF INDIANAPOLIS,25200.0,157.0,city_large,-1.397878461075054,10.134638955251866,0
THE ART INSTITUTE OF SALT LAKE CITY,25200.0,157.0,sub_large,-1.397878461075054,10.134638955251866,0
THE ART INSTITUTE OF CHARLESTON,31600.0,157.0,city_mid,-0.869673406135732,10.360944044643913,0
THE ART INSTITUTE OF AUSTIN,32900.0,157.0,city_mid,-0.7623817543511822,10.401258331428318,0
REMINGTON COLLEGE OF NURSING ORLANDO,28900.0,156.0,sub_large,-1.0925099136882586,10.27163147557801,0
THE ART INSTITUTE OF WISCONSIN,25200.0,157.0,city_large,-1.397878461075054,10.134638955251866,0
